4	2523	2.45666268519877
906	1605	2.26303048287582
1261	2441	3.00072720021113
1786	50	2.62111027476535
509	79	2.82958936717810
2147	1901	2.17814918820353
562	2239	3.08953768990419
1350	1706	2.26330723945521
463	975	3.18715597941754
423	2284	2.78555396484564
198	1097	3.00239159657406
1804	2483	2.55704940089126
1005	1282	3.34800719019607
1312	220	3.28643252198215
1014	1416	3.37535501014458
243	2142	2.12479334742580
858	1912	2.55759374352910
1941	1328	2.64997878175604
1271	2348	2.40262881188891
667	100	3.65526321782804
1339	2605	2.57405606294147
875	2037	3.60547428777679
189	417	2.96187770885267
1062	2488	3.37428244765908
283	1915	2.35416275564709
687	2596	2.80919686341488
245	1708	3.65501042542944
1783	1209	2.89430466101832
801	909	2.59404129002793
1672	158	2.63844078586897
2263	2191	2.22067463695883
1177	1535	2.36607363962461
1013	2511	2.34017858867034
1678	659	3.28615503739030
957	1411	2.19063952200499
1688	796	3.05448386659751
49	2572	3.43466520255601
2039	316	2.04219494118090
293	2558	1.83924278819254
1011	1068	2.57335415454676
1852	2312	2.06200929710315
1821	643	3.18462263461751
735	2375	2.83797429922439
27	1835	3.29687471622527
307	916	2.64142152577538
1316	873	3.29348168239853
1023	2461	3.27813442667321
2079	2563	1.84544478426849
2546	550	3.11218461470445
1102	2279	2.52516905422673
1975	1602	3.02170052917013
553	2420	3.04462393713037
46	2243	2.81227947387385
1449	14	2.01980379550021
1050	2066	3.45552593566181
240	2539	3.43735154638196
1321	902	3.33710209986573
2208	508	3.32384698748556
1643	604	1.88582516879917
534	359	2.74570572527531
2528	2614	2.01158931275144
299	2497	2.48044302892214
1479	1425	3.01814256415356
1927	860	3.27359398314090
136	60	3.51263452153167
906	877	3.55382090318693
506	1450	2.01805412606788
279	1163	2.88127395674018
665	2245	1.80015690311552
2162	821	3.71096517810048
2600	1429	3.51469109539048
363	2086	2.98836616806863
577	28	3.27544151662945
245	786	2.71941675958915
967	778	3.45305899167926
1525	2292	3.07436519441949
2035	256	2.65485125919974
640	1973	2.61845572046079
479	1772	2.51096348976983
1975	1163	2.83561835363751
77	1052	1.84831937558805
2116	821	3.21909253345859
2543	2154	2.34695610861746
1964	598	3.77612705977277
292	1311	3.24083486268048
